棋士名,通算,竜王,名人,叡王,王位,王座,棋聖,棋王,王将,十段,九段
羽生善治,99,7,9,,18,24,16,13,12,,
大山康晴,80,,18,,12,,16,,20,8,6
中原誠,64,,15,,8,6,16,1,7,11,
渡辺明,31,11,3,,,1,1,10,5,,
藤井聡太,31,4,3,3,6,2,6,3,4,,
谷川浩司,27,4,5,,6,1,4,3,4,,
米長邦雄,19,,1,,1,,7,5,3,2,
佐藤康光,13,1,2,,,,6,2,2,,
森内俊之,12,2,8,,,,,1,1,,
木村義雄,8,,8,,,,,,,,
加藤一二三,8,,1,,1,,,2,1,3,
升田幸三,7,,2,,,,,,3,,2
南芳一,7,,,,,,2,2,3,,
久保利明,7,,,,,,,3,4,,
塚田正夫,6,,2,,,,,,,,4
郷田真隆,6,,,,1,,2,1,2,,
豊島将之,6,2,1,1,1,,1,,,,
二上達也,5,,,,,,4,,1,,
高橋道雄,5,,,,3,,,1,,1,
永瀬拓矢,5,,,1,,4,,,,,
内藤國雄,4,,,,2,,2,,,,
桐山清澄,4,,,,,,3,1,,,
屋敷伸之,3,,,,,,3,,,,
藤井猛,3,3,,,,,,,,,
丸山忠久,3,,2,,,,,1,,,
深浦康市,3,,,,3,,,,,,
佐藤天彦,3,,3,,,,,,,,
山田道美,2,,,,,,2,,,,
中村修,2,,,,,,,,2,,
森雞二,2,,,,1,,1,,,,
福崎文吾,2,,,,,1,,,,1,
広瀬章人,2,1,,,1,,,,,,
伊藤匠,2,,,2,,,,,,,
有吉道夫,1,,,1,,,,,,,
大内延介,1,,,,,,,1,,,
森安秀光,1,,,1,,,,,,,
塚田泰明,1,,,,,1,,,,,
田中寅彦,1,,,,,,1,,,,
島朗,1,1,,,,,,,,,
三浦弘行,1,,,,,,1,,,,
糸谷哲郎,1,1,,,,,,,,,
中村太地,1,,,,,1,,,,,
菅井竜也,1,,,,1,,,,,,
高見泰地,1,,,1,,,,,,,
斎藤慎太郎,1,,,,,1,,,,,
木村一基,1,,,,1,,,,,,